File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,Jaro-Winkler-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
2023-02-0-08.04.xes,0,1,0,1,0.972383721,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-07-09.06.xes,454,0.667399267,547,0.78058564,0.980407524,0.812000109,,0.981194068,0.949212591,0.892423587,0.828566069,0.823529412,0.756756757,0.740740741,0.623376623,0.903225806,0.861538462,0.85106383,0.768,0.77540107,0.71875,0.664974619,0.567307692
2023-02-07-09.17.xes,302,0.663322185,328,0.787564767,0.982191781,0.779911312,,0.987133131,0.967161864,0.922448147,0.841045597,0.928571429,0.838709677,0.840909091,0.7,0.962962963,0.912280702,0.913580247,0.823529412,0.694915254,0.677966102,0.647058824,0.564516129
2023-02-07-09.27.xes,173,0.763337893,214,0.845375723,0.965469613,0.847976592,,0.923602724,0.799826815,0.679563883,0.622556017,1,0.88,0.828571429,0.695652174,1,0.936170213,0.90625,0.820512821,0.684210526,0.564356436,0.5,0.439252336
2023-02-07-09.48.xes,216,0.690544413,243,0.801308258,0.991438356,0.800557602,,0.963926734,0.91971267,0.839103586,0.775803912,1,0.9,0.888888889,0.72972973,1,0.947368421,0.941176471,0.84375,0.694117647,0.670588235,0.609195402,0.516483516
2023-02-07-10.55.xes,322,0.529239766,361,0.694326842,0.996376812,0.779426069,,0.952098995,0.870076641,0.735630853,0.582809693,0.785714286,0.65625,0.636363636,0.545454545,0.88,0.79245283,0.777777778,0.705882353,0.638554217,0.576470588,0.534883721,0.428571429
2023-02-07-11.07.xes,162,0.628440367,169,0.764951321,1,0.777609384,,0.945833333,0.835956655,0.753923305,0.702648053,0.916666667,0.826086957,0.774193548,0.631578947,0.956521739,0.904761905,0.872727273,0.774193548,0.615384615,0.607843137,0.6,0.529411765
2023-02-08-09.01.xes,217,0.716339869,252,0.825966851,0.953825858,0.840543771,,0.948040221,0.866610332,0.685453564,0.538205605,0.882352941,0.756756757,0.716981132,0.585714286,0.9375,0.861538462,0.835164835,0.738738739,0.690721649,0.588235294,0.495327103,0.410714286
2023-02-08-13.19.xes,192,0.632887189,230,0.750542299,0.939597315,0.775902315,,0.943820802,0.818441764,0.647514858,0.597015475,0.666666667,0.586206897,0.55,0.403846154,0.8,0.739130435,0.709677419,0.575342466,0.6,0.447368421,0.35,0.292682927
2023-02-08-14.30.xes,236,0.594501718,325,0.711111111,0.919141914,0.825518116,,0.9464397,0.876609607,0.724248682,0.528344294,0.555555556,0.461538462,0.428571429,0.309859155,0.714285714,0.631578947,0.6,0.47311828,0.679012346,0.576470588,0.466666667,0.326530612
2023-02-09-08.10.xes,220,0.727385378,269,0.82006689,0.96875,0.820042914,,0.967485242,0.920359669,0.827110027,0.656031761,1,0.954545455,0.903225806,0.658536585,1,0.976744186,0.949152542,0.794117647,0.76,0.722772277,0.653846154,0.47826087
2023-02-09-10.13.xes,335,0.65885947,404,0.794087666,0.961643836,0.857212993,,0.997425377,0.989064409,0.923096988,0.748625113,0.923076923,0.851851852,0.794871795,0.574074074,0.96,0.92,0.885714286,0.729411765,0.933333333,0.869918699,0.740458015,0.527027027
2023-02-09-13.33.xes,294,0.634782609,384,0.738419619,0.970230041,0.811278386,,0.977246359,0.926531995,0.860226402,0.715799039,0.923076923,0.888888889,0.871794872,0.660377358,0.96,0.941176471,0.931506849,0.795454545,0.773195876,0.734693878,0.68,0.551401869
2023-02-09-13.37.xes,258,0.616641902,327,0.73650282,0.962264151,0.820617651,,0.978887993,0.952751946,0.831015497,0.761751394,0.611111111,0.578947368,0.545454545,0.416666667,0.75862069,0.733333333,0.705882353,0.588235294,0.747126437,0.685393258,0.557894737,0.46
2023-02-10-08.43.xes,1040,0.546247818,1283,0.701835928,0.949243099,0.798141808,,0.964015467,0.892656728,0.762067325,0.600947956,0.8,0.709677419,0.652173913,0.483870968,0.888888889,0.830188679,0.789473684,0.652173913,0.689189189,0.541795666,0.433526012,0.320855615
2023-02-10-08.50.xes,364,0.556638246,434,0.686416185,0.982428115,0.751420626,,0.958498273,0.885578212,0.709860704,0.633624001,0.8125,0.757575758,0.6875,0.46969697,0.896551724,0.862068966,0.814814815,0.639175258,0.616161616,0.564356436,0.471698113,0.387387387
2023-02-10-08.58.xes,458,0.700653595,521,0.81252249,0.984870317,0.784302714,,0.986001871,0.952843232,0.856656327,0.787566081,0.769230769,0.76,0.771428571,0.666666667,0.869565217,0.863636364,0.870967742,0.8,0.745856354,0.643979058,0.552238806,0.490384615
2023-02-10-09.38.xes,979,0.556210335,1218,0.6955,0.88432649,0.736089365,,0.93833953,0.880889899,0.760875739,0.715511587,0.692307692,0.555555556,0.526315789,0.388888889,0.818181818,0.714285714,0.689655172,0.56,0.570469799,0.470031546,0.385074627,0.35483871
2023-02-10-10.09.xes,1802,0.31116208,1871,0.465275793,0.99287169,0.618467055,,0.968074358,0.907173639,0.774242052,0.606330669,0.625,0.59375,0.6,0.433333333,0.769230769,0.745098039,0.75,0.604651163,0.302931596,0.255520505,0.229813665,0.190332326
2023-02-10-10.37.xes,5421,0.292943785,5501,0.449844984,0.996146435,0.622041556,,0.970591924,0.909157949,0.790349713,0.63461089,0.733333333,0.677419355,0.644444444,0.483333333,0.846153846,0.807692308,0.783783784,0.651685393,0.269356598,0.23223754,0.205821206,0.17325228
